Year,China,India,usa
1960,,,
1961,193.6170213,92.01639943,107.9821651
1962,175.1504425,93.6281842,161.0120298
1963,160.2827763,92.34558449,164.0651258
1964,141.3996627,92.10360745,148.0161984
1965,136.4064955,90.53684095,146.9332912
1966,142.7091328,93.20078283,151.9494622
1967,146.4964693,94.64234941,155.511209
1968,200.5952381,97.61474177,181.9588741
1969,174.7484909,97.56266306,161.7163447
1970,167.2485769,96.38804326,153.9822469
1971,141.8577198,98.07013032,138.6187722
1972,132.6390293,96.44816468,139.369421
1973,132.5612014,96.452858,141.4506861
1974,124.6523586,96.63358714,129.5354631
1975,123.075265,97.88602376,129.3071054
1976,115.9263272,102.153906,129.6438547
1977,120.9228121,101.2129065,132.534923
1978,120.2435649,94.64398848,130.5446326
1979,119.1258025,92.39780256,125.9755426
1980,121.0048292,91.10412705,123.972931
1981,118.6384278,104.9164356,122.2967069
1982,122.6189319,97.35724734,123.876383
1983,129.6256618,94.55636407,121.2851539
1984,131.860216,88.43471256,121.4823174
1985,125.165702,101.7096706,113.9208989
1986,121.1980438,81.85634361,115.6202532
1987,132.9475541,77.47429597,122.0516776
1988,142.4683943,75.84208096,125.3362985
1989,138.5053434,79.18593958,121.9190445
1990,142.3656531,76.84509263,130.8982523
1991,147.9987625,73.01668028,136.167426
1992,140.7079893,73.84392824,100.0869049
1993,126.0815388,78.09502708,98.95501736
1994,134.7472655,75.90992,101.07945
1995,140.3593068,77.30150959,99.56361551
1996,132.8667244,74.94354603,101.0658801
1997,132.9052679,83.46689798,106.2134005
1998,125.9136913,84.86115541,105.3510695
1999,123.6014028,95.38296207,100.7007907
2000,119.973872,106.1527956,98.58095042
2001,118.1251874,102.8112413,97.0446758
2002,126.6816675,109.3108222,101.3101747
2003,113.2319939,126.1506592,96.59348056
2004,110.5477872,122.7580813,95.90235112
2005,115.1949271,120.3749477,93.04295615
2006,110.0687809,124.8980668,94.82899227
2007,101.1678361,120.4238861,92.98044608
2008,98.62345881,122.9175878,90.09928948
2009,96.10379603,122.63736,94.89903501
2010,93.47178232,119.5191881,88.4627921
2011,93.93347402,129.1715603,91.71338569
2012,94.41666903,131.4242682,93.85801578
2013,93.16043396,134.7097975,94.01555685
2014,87.89423269,133.2838045,88.06134249
2015,85.22610059,129.4890092,83.12754696
2016,88.13968095,127.1828083,88.80673775
2017,90.06735858,125.0855204,90.4142863
2018,90.06261805,118.1038928,89.9732142
2019,,,
2020,,,